#purity EB:   purity EB error:   purity EE:     purity EE error:
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9394312251323332   0.014585434074333214   0.9644865701173333   0.014466961288666758
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9529458327956667   0.011037659601666694   0.9468864281673334   0.02317752860333333 
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
0.9742914092513333   0.005863896771333255   0.8846943180493333   0.0495032579343333
